doi,annotated_solvent,extracted_solvent,annotated_compound,extracted_compound,solvent_score,compound_score,combined_score
10.1039/c2dt32134c,CH2Cl2,CH2Cl2,"2,5-Bis[4-(dimethylamino)phenyl]pyrrole","2,5-Bis[4-(dimethylamino)phenyl]pyrrole",1,1,1
10.1039/c2dt32134c,toluene,toluene,"N-(Dimesitylboryl)-2,5-di(2-thienyl)pyrrole","N-(Dimesitylboryl)-2,5-di(2-thienyl)pyrrole",1,1,1
10.1039/c2dt32134c,toluene / hexane,toluene / hexane,"N-(Dimesitylboryl)-2,3,4,5-tetraphenylpyrrole","N-(Dimesitylboryl)-2,3,4,5-tetraphenylpyrrole",1,1,1
10.1039/c2dt32134c,hexane,hexane,"N-(Dimesitylboryl)-2,5-bis(4-dimethylaminophenyl)pyrrole",dimesitylfluoroborane,1,0,0
10.1039/c2dt32134c,hexane,NONE,"N-(Dimesitylboryl)-2,5-diphenylpyrrole",NONE,0,0,0
10.1039/C4GC01832J,DMF and water,DMF and water,5 or 7 or 9 or 11,amines,1,0,0
10.1039/b814500h,DCM and hexane,DCM and hexane,3,4-bromobenzoyl chloride,1,0,0
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,"'N-(3-Acetyl-3,4-dihydro-2H-chromen-4-yl)-4-methylbenzenesulfonamide","N-(3-Acetyl-3,4-dihydro-2H-chromen-4-yl)-4-methylbenzenesulfonamide",1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,2-(2-Methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-3-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,2-Methoxy-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,N-(1-(2-Hydroxy-4-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-4-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,5-Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,5-Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,N-(1-(2-Hydroxy-5-methoxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonami,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,Methoxy-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-[2-Acetyl-1-(2-hydroxy-5-methylphenyl)-allyl]-4-methylbenzenesulfonamide,N-[2-Acetyl-1-(2-hydroxy-5-methylphenyl)-allyl]-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,4-Methyl-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Methyl-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,N-(1-(5-Bromo-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Bromo-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,"N-(1-(3,5-Dichloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfona","N-(1-(3,5-Dichloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfona",1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,"2,4-Dichloro-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate","2,4-Dichloro-6-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate",1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(5-Chloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,N-(1-(5-Chloro-2-hydroxyphenyl)-2-methylene-3-oxobutyl)-4-methylbenzenesulfonamide,1,1,1
10.1039/b814500h,EtOAc / PE,EtOAc / PE,4-Chloro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,4-Chloro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,5-fluoro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,5-fluoro-2-(2-methylene-1-(4-methylphenylsulfonamido)-3-oxobutyl)phenyl acetate,1,1,1
10.1039/b814500h,CH2Cl2 / PE,CH2Cl2 / PE,N-(1-(2-Hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,N-(1-(2-Hydroxyphenyl)-2-methylene-3-oxopentyl)-4-methylbenzenesulfonamid,1,1,1
